variedad,edad,cortes,lluvias,grupo_tenencia,pct_diatrea,tipocorte,madurada,dosismad,semsmad,vejez,mes,me,TCH,sacarosa,nivel_TCH,nivel_sacarosa,variedad_cod,tipocorte_cod,madurada_cod,nivel_TCH_num,nivel_sacarosa_num
CC01-1940,12.3,4,137,3,6.2,Mecanizado Verde,SI,0.8,8.3,2.4,12,12.7,112,14.0,Bajo,Alto,0,0,0,0,2
CC01-1940,11.2,2,0,3,3.5,Mecanizado Verde,SI,0.8,6.3,2.3,3,7.8,157,13.0,Alto,Medio,0,0,0,2,1
CC01-1940,12.2,3,68,3,4.3,Mecanizado Verde,SI,0.6,7.9,1.8,3,8.8,167,13.3,Alto,Alto,0,0,0,2,2
CC01-1940,13.1,1,0,3,3.5,Mecanizado Verde,SI,0.8,6.6,2.5,3,6.1,156,13.4,Alto,Alto,0,0,0,2,2
CC01-1940,12.2,2,68,3,4.3,Mecanizado Verde,SI,0.6,8.1,2.1,3,7.9,151,14.0,Medio,Alto,0,0,0,1,2
CC01-1940,12.8,1,10,3,4.4,Mecanizado Verde,SI,1.2,7.6,12.3,1,8.2,155,12.8,Alto,Medio,0,0,0,2,1
CC01-1940,12.1,2,8,3,4.4,Mecanizado Verde,SI,1.2,8.4,2.7,1,8.3,115,12.5,Bajo,Medio,0,0,0,0,1
CC01-1940,11.8,3,134,3,4.4,Mecanizado Verde,SI,0.8,6.0,2.4,1,12.4,146,12.9,Medio,Medio,0,0,0,1,1
CC01-1940,12.2,2,8,3,4.4,Mecanizado Verde,SI,1.2,8.9,12.5,1,10.4,145,12.6,Medio,Medio,0,0,0,1,1
CC01-1940,11.9,3,119,3,4.4,Mecanizado Verde,SI,0.8,6.7,2.2,1,9.5,138,12.7,Medio,Medio,0,0,0,1,1
CC01-1940,12.4,1,0,3,4.4,Mecanizado Verde,SI,1.2,7.7,4.1,1,12.1,157,12.5,Alto,Medio,0,0,0,2,1
CC01-1940,12.1,2,8,3,4.4,Mecanizado Verde,SI,1.2,8.4,2.9,1,10.1,116,13.3,Bajo,Alto,0,0,0,0,2
CC01-1940,11.8,3,134,3,4.4,Mecanizado Verde,SI,0.8,6.1,2.3,1,10.3,155,12.9,Alto,Medio,0,0,0,2,1
CC01-1940,12.1,2,8,3,4.4,Mecanizado Verde,SI,1.2,8.7,8.3,1,10.7,147,12.3,Medio,Bajo,0,0,0,1,0
CC01-1940,12.0,3,134,3,4.4,Mecanizado Verde,SI,0.8,7.0,2.9,1,9.6,144,12.7,Medio,Medio,0,0,0,1,1
CC01-1940,12.3,1,0,3,4.4,Mecanizado Verde,SI,1.2,8.0,6.7,1,9.4,147,12.5,Medio,Medio,0,0,0,1,1
CC01-1940,12.0,2,8,3,4.4,Mecanizado Verde,SI,1.2,8.6,2.0,1,7.5,116,13.3,Bajo,Alto,0,0,0,0,2
CC01-1940,11.8,3,134,3,4.4,Mecanizado Verde,SI,0.8,6.3,2.2,1,11.2,153,13.1,Medio,Medio,0,0,0,1,1
CC01-1940,13.1,1,0,3,7.7,Mecanizado Verde,SI,1.2,13.1,8.1,9,6.3,151,13.1,Medio,Medio,0,0,0,1,1
CC01-1940,12.0,4,54,3,5.1,Mecanizado Verde,SI,0.8,9.3,3.5,9,9.2,141,12.9,Medio,Medio,0,0,0,1,1
CC01-1940,13.4,1,0,3,7.7,Mecanizado Verde,SI,1.2,13.3,8.6,9,7.1,139,11.9,Medio,Bajo,0,0,0,1,0
CC01-1940,12.2,3,0,3,3.7,Mecanizado Verde,SI,1.2,9.7,2.2,9,6.8,152,13.3,Medio,Alto,0,0,0,1,2
CC01-1940,11.7,4,30,3,2.9,Mecanizado Verde,SI,0.8,9.4,2.3,9,8.1,136,13.7,Medio,Alto,0,0,0,1,2
CC01-1940,13.9,1,0,3,11.0,Mecanizado Verde,SI,1.2,12.9,3.7,9,5.9,138,13.6,Medio,Alto,0,0,0,1,2
CC01-1940,11.9,3,0,3,4.4,Mecanizado Verde,SI,1.2,8.1,8.2,9,11.0,155,12.9,Alto,Medio,0,0,0,2,1
CC01-1940,12.2,4,54,3,1.3,Mecanizado Verde,SI,0.8,9.9,3.2,9,7.1,130,12.9,Bajo,Medio,0,0,0,0,1
