Edad Ult Cos,Variedad,Suelo,Zona,Tenencia,Vejez,Destino 1=Semilla,Cod. T.Cultivo,Dist Km,Tipo Quema,T.Corte,Dosis Madurante,Lluvias (2 Meses Ant.),Lluvias Ciclo,Lluvias 0 -3,Lluvias tres a seis,Lluvias seis a nueve,Luvias 9 -FC,M3 Riego,DDUlt.Riego,Período,TCH,%Sac.Caña,Variedad_cod,Suelo_cod,Zona_cod,Tipo Quema_cod,T.Corte_cod
12.81,CC85-92,CANTARINA,IP02,51.0,2.735,0,1.0,4.3,VERDE,MECANIZADO,1.0,258.0,1038.0,0.0,454.0,102.0,482.0,0.0,0,201701,121.198333,13.7582,34,11,2,4,1
11.14,CC85-92,DESCONOCIDO,IP05,81.0,73.823,0,1.0,21.9,Q.ACCIDENTAL,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201701,93.793103,12.843,34,22,4,1,0
12.32,CC01-1228,CORINTIAS ,IP05,31.0,2.108,0,1.0,23.0,VERDE,MECANIZADO,1.1,246.0,1002.0,106.0,326.0,113.0,457.0,48513.6,107,201701,174.347087,11.9364,4,19,4,4,1
9.79,CC01-1940,DESCONOCIDO,IP05,82.0,64.614,0,1.0,66.5,Q.ACCIDENTAL,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201701,136.790476,11.277,6,22,4,1,0
11.53,RB73-2223,GALPON ,IP06,31.0,71.021,0,1.0,17.0,Q.ACCIDENTAL,MANUAL,0.0,138.0,991.0,264.0,255.0,188.0,284.0,0.0,0,201701,113.068432,10.216,51,32,5,1,0
13.04,CC85-92,JUANCHITO ,IP03,51.0,3.421,0,1.0,32.2,VERDE,MECANIZADO,1.0,0.0,847.0,52.0,427.0,79.0,289.0,0.0,0,201704,163.072307,13.5645,34,48,3,4,1
15.67,CC85-92,CORINTIAS ,IP06,28.0,37.396,0,1.0,10.5,Q.PROGRAMADA,MANUAL,1.3,235.0,1261.0,210.0,100.0,433.0,518.0,32832.0,192,201701,120.517739,12.8348,34,19,5,2,0
12.32,CC85-92,CORINTIAS ,IP05,31.0,6.837,0,1.0,23.0,Q.PROGRAMADA,MECANIZADO,1.1,246.0,1002.0,106.0,326.0,113.0,457.0,25084.8,90,201701,146.81722,12.4903,34,19,4,2,1
12.22,CC01-1940,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,62.5,Q.ACCIDENTAL,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201701,116.129032,11.802,6,22,4,1,0
12.12,CC93-4418,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,54.6,Q.ACCIDENTAL,MANUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201701,117.245398,11.606,40,22,4,1,0
14.0,CC01-1940,GALPON ,IP03,51.0,2.69,0,1.0,21.9,VERDE,MECANIZADO,0.0,131.0,684.0,72.0,142.0,181.0,289.0,58179.17,32,201701,205.383467,11.438,6,32,3,4,1
